Date,Open,High,Low,Close,Adj Close,Volume
2013-01-15,285.971008,285.971008,285.971008,285.971008,285.971008,0
2013-01-16,286.033997,286.033997,286.033997,286.033997,286.033997,0
2013-01-17,287.351990,287.351990,287.351990,287.351990,287.351990,0
2013-01-18,287.032013,287.032013,287.032013,287.032013,287.032013,0
2013-01-21,287.783997,287.783997,287.783997,287.783997,287.783997,0
2013-01-22,287.662994,287.662994,287.662994,287.662994,287.662994,0
2013-01-23,288.217010,288.217010,288.217010,288.217010,288.217010,0
2013-01-24,288.888000,288.888000,288.888000,288.888000,288.888000,0
2013-01-25,289.717010,289.717010,289.717010,289.717010,289.717010,0
2013-01-28,289.359985,289.359985,289.359985,289.359985,289.359985,0
2013-01-29,290.300995,290.300995,290.300995,290.300995,290.300995,0
2013-01-30,288.627014,288.627014,288.627014,288.627014,288.627014,0
2013-01-31,287.220001,287.220001,287.220001,287.220001,287.220001,0
2013-02-01,288.196014,288.196014,288.196014,288.196014,288.196014,0
2013-02-04,283.899994,283.899994,283.899994,283.899994,283.899994,0
2013-02-05,285.557007,285.557007,285.557007,285.557007,285.557007,0
2013-02-06,284.522003,284.522003,284.522003,284.522003,284.522003,0
2013-02-07,283.878998,283.878998,283.878998,283.878998,283.878998,0
2013-02-08,287.343994,287.343994,287.343994,287.343994,287.343994,0
2013-02-11,285.615997,285.615997,285.615997,285.615997,285.615997,0
2013-02-12,287.066010,287.066010,287.066010,287.066010,287.066010,0
2013-02-13,288.268005,288.268005,288.268005,288.268005,288.268005,0
2013-02-14,287.795013,287.795013,287.795013,287.795013,287.795013,0
2013-02-15,287.339996,287.339996,287.339996,287.339996,287.339996,0
2013-02-18,286.760010,286.760010,286.760010,286.760010,286.760010,0
2013-02-19,290.006989,290.006989,290.006989,290.006989,290.006989,0
2013-02-20,289.069000,289.069000,289.069000,289.069000,289.069000,0
2013-02-21,284.864990,284.864990,284.864990,284.864990,284.864990,0
2013-02-22,288.571014,288.571014,288.571014,288.571014,288.571014,0
2013-02-25,288.395996,288.395996,288.395996,288.395996,288.395996,0
2013-02-26,284.596985,284.596985,284.596985,284.596985,284.596985,0
2013-02-27,287.169006,287.169006,287.169006,287.169006,287.169006,0
2013-02-28,289.937988,289.937988,289.937988,289.937988,289.937988,0
2013-03-01,289.016998,289.016998,289.016998,289.016998,289.016998,0
2013-03-04,288.893005,288.893005,288.893005,288.893005,288.893005,0
2013-03-05,294.106995,294.106995,294.106995,294.106995,294.106995,0
2013-03-06,293.382996,293.382996,293.382996,293.382996,293.382996,0
2013-03-07,293.188995,293.188995,293.188995,293.188995,293.188995,0
2013-03-08,295.545990,295.545990,295.545990,295.545990,295.545990,0
2013-03-11,295.259003,295.259003,295.259003,295.259003,295.259003,0
2013-03-12,295.371002,295.371002,295.371002,295.371002,295.371002,0
