Date, Open, High, Low, Close
08/22/16, 340.34, 343.27, 339.16, 340.43
08/19/16, 342.69, 342.85, 338.82, 340.14
08/18/16, 341.19, 343.06, 341.19, 342.91
08/17/16, 344.18, 344.69, 340.21, 340.47
08/16/16, 345.11, 345.83, 343.30, 343.32
08/15/16, 346.23, 347.54, 345.69, 346.05
08/12/16, 346.73, 346.99, 345.65, 346.09
08/11/16, 344.21, 346.66, 343.16, 346.66
08/10/16, 344.20, 344.88, 343.26, 343.98
08/09/16, 340.99, 344.93, 340.89, 344.67
08/08/16, 341.37, 343.05, 340.98, 341.53
08/05/16, 338.00, 341.68, 338.00, 341.38
08/04/16, 336.33, 338.49, 336.09, 337.84
08/03/16, 336.30, 336.72, 334.20, 335.58
08/02/16, 339.46, 339.46, 335.07, 335.47
08/01/16, 342.66, 344.09, 339.25, 339.86
07/29/16, 340.56, 342.14, 339.66, 341.89
07/28/16, 342.40, 343.84, 339.47, 339.47
07/27/16, 341.87, 344.02, 341.87, 342.74
07/26/16, 340.42, 342.19, 338.92, 341.26
07/25/16, 340.86, 343.08, 339.79, 340.93
07/22/16, 340.24, 340.73, 338.13, 340.33
07/21/16, 341.27, 341.81, 338.36, 340.58
07/20/16, 337.93, 340.85, 337.62, 340.81
07/19/16, 337.96, 338.43, 335.17, 337.32
07/18/16, 338.00, 340.61, 337.24, 338.70
07/15/16, 338.23, 338.84, 336.19, 337.92
07/14/16, 336.55, 339.88, 336.55, 338.50
07/13/16, 336.89, 338.11, 335.83, 335.83
07/12/16, 333.02, 336.62, 332.82, 336.26
07/11/16, 328.44, 333.00, 327.65, 332.72
07/08/16, 321.53, 327.61, 320.97, 327.35
07/07/16, 320.24, 324.70, 320.24, 322.12
07/06/16, 322.84, 324.23, 317.24, 318.76
07/05/16, 328.92, 328.92, 323.57, 324.17
07/04/16, 332.77, 333.63, 329.37, 329.78
07/01/16, 330.51, 333.05, 328.73, 332.24
06/30/16, 325.62, 329.88, 323.41, 329.88
06/29/16, 317.60, 326.49, 317.60, 326.49
06/28/16, 311.45, 319.29, 311.45, 316.70
06/27/16, 319.17, 320.28, 307.81, 308.75
06/24/16, 339.04, 339.04, 315.36, 321.98
06/23/16, 341.80, 348.16, 341.78, 346.34
06/22/16, 340.93, 343.57, 339.25, 341.32
06/21/16, 337.70, 340.98, 336.19, 340.04
06/20/16, 328.84, 338.38, 328.84, 337.67
06/17/16, 322.63, 326.98, 322.63, 325.78
06/16/16, 321.27, 321.94, 318.51, 321.29
06/15/16, 321.35, 325.47, 321.35, 323.63
06/14/16, 325.26, 325.26, 320.53, 320.53
06/13/16, 331.09, 331.09, 326.69, 326.80
06/10/16, 340.77, 340.77, 332.70, 332.92
06/09/16, 343.76, 343.76, 340.47, 341.25
06/08/16, 345.69, 345.69, 343.46, 344.56
06/07/16, 343.73, 347.29, 343.73, 346.26
06/06/16, 340.18, 343.20, 340.18, 342.41
06/03/16, 344.75, 346.76, 339.45, 341.29
06/02/16, 343.88, 345.08, 343.14, 344.35
06/01/16, 346.92, 346.92, 342.73, 344.12
05/31/16, 350.46, 351.14, 346.98, 347.45
05/30/16, 349.66, 350.36, 349.14, 350.14
05/27/16, 348.43, 349.67, 348.06, 349.64
05/26/16, 347.88, 349.23, 347.38, 348.91
05/25/16, 345.27, 349.27, 345.27, 348.56
05/24/16, 336.39, 344.87, 335.00, 344.12
05/23/16, 337.89, 339.39, 335.22, 336.69
05/20/16, 334.73, 338.18, 334.73, 338.01
05/19/16, 337.03, 337.08, 333.90, 333.91
05/18/16, 334.12, 337.58, 333.01, 337.58
05/17/16, 336.04, 338.73, 333.30, 334.72
05/16/16, 333.99, 334.96, 332.51, 334.73
05/13/16, 332.16, 335.05, 330.44, 334.68
05/12/16, 334.05, 337.56, 331.40, 333.11
05/11/16, 336.04, 336.39, 333.30, 334.74
05/10/16, 334.38, 337.89, 334.38, 336.24
05/09/16, 332.72, 336.37, 332.26, 333.22
05/06/16, 332.18, 332.69, 328.64, 331.67
05/05/16, 332.35, 334.19, 331.85, 332.86
05/04/16, 335.25, 336.02, 331.51, 331.80
05/03/16, 341.17, 341.17, 335.06, 335.56
05/02/16, 341.56, 342.31, 340.56, 341.24
04/29/16, 347.19, 347.19, 341.41, 341.48
04/28/16, 347.33, 348.90, 343.12, 348.90
04/27/16, 347.18, 348.79, 345.97, 348.32
04/26/16, 346.93, 349.26, 346.60, 347.31
04/25/16, 348.52, 349.33, 345.38, 346.68
04/22/16, 349.09, 349.12, 346.92, 348.46
04/21/16, 350.88, 351.51, 346.98, 349.59
04/20/16, 348.76, 350.93, 347.62, 350.75
04/19/16, 345.21, 349.43, 345.21, 349.24
